algorithm,array_type,n,time_ms,char_cmps
QuickSort (std),random,100,0.105809,2325
MergeSort (std),random,100,0.131958,590
Ternary String QSort,random,100,0.0468416,615
String MergeSort (LCP),random,100,0.222408,588
MSD Radix Sort,random,100,0.153025,173
MSD Radix + TStrQSort,random,100,0.038733,615
QuickSort (std),random,200,0.2127,4877
MergeSort (std),random,200,0.288858,1500
Ternary String QSort,random,200,0.084825,1447
String MergeSort (LCP),random,200,0.489825,1495
MSD Radix Sort,random,200,0.286125,390
MSD Radix + TStrQSort,random,200,0.0550662,429
QuickSort (std),random,300,0.350375,7543
MergeSort (std),random,300,0.465925,2551
Ternary String QSort,random,300,0.128958,2117
String MergeSort (LCP),random,300,0.78005,2534
MSD Radix Sort,random,300,0.422583,621
MSD Radix + TStrQSort,random,300,0.0860002,778
QuickSort (std),random,400,0.484908,10628
MergeSort (std),random,400,0.645733,3692
Ternary String QSort,random,400,0.191108,3289
String MergeSort (LCP),random,400,1.07752,3663
MSD Radix Sort,random,400,0.466017,829
MSD Radix + TStrQSort,random,400,0.118583,1132
QuickSort (std),random,500,0.6025,13081
MergeSort (std),random,500,0.833642,4865
Ternary String QSort,random,500,0.264825,4768
String MergeSort (LCP),random,500,1.38649,4806
MSD Radix Sort,random,500,0.559608,1041
MSD Radix + TStrQSort,random,500,0.158483,1566
QuickSort (std),random,600,0.791783,17266
MergeSort (std),random,600,1.02908,6136
Ternary String QSort,random,600,0.291442,4925
String MergeSort (LCP),random,600,1.7094,6066
MSD Radix Sort,random,600,0.620917,1257
MSD Radix + TStrQSort,random,600,0.191525,1963
QuickSort (std),random,700,0.95275,20565
MergeSort (std),random,700,1.23023,7445
Ternary String QSort,random,700,0.393258,7007
String MergeSort (LCP),random,700,2.03175,7379
MSD Radix Sort,random,700,0.709767,1483
MSD Radix + TStrQSort,random,700,0.229992,2382
QuickSort (std),random,800,1.09776,24200
MergeSort (std),random,800,1.42143,8809
Ternary String QSort,random,800,0.419158,7332
String MergeSort (LCP),random,800,2.35244,8711
MSD Radix Sort,random,800,0.7817,1701
MSD Radix + TStrQSort,random,800,0.274375,2937
QuickSort (std),random,900,1.21778,26066
MergeSort (std),random,900,1.62867,10168
Ternary String QSort,random,900,0.49645,8711
String MergeSort (LCP),random,900,2.69083,10055
MSD Radix Sort,random,900,0.851917,1928
MSD Radix + TStrQSort,random,900,0.317742,3420
QuickSort (std),random,1000,1.36346,29645
MergeSort (std),random,1000,1.8641,11610
Ternary String QSort,random,1000,0.55145,9111
String MergeSort (LCP),random,1000,3.19919,11440
MSD Radix Sort,random,1000,1.04738,2160
MSD Radix + TStrQSort,random,1000,0.374775,3909
QuickSort (std),random,1100,1.50474,32911
MergeSort (std),random,1100,2.0765,13078
Ternary String QSort,random,1100,0.601859,10095
String MergeSort (LCP),random,1100,3.41661,12899
MSD Radix Sort,random,1100,1.07058,2387
MSD Radix + TStrQSort,random,1100,0.407184,4478
QuickSort (std),random,1200,1.61743,34510
MergeSort (std),random,1200,2.27868,14536
Ternary String QSort,random,1200,0.65645,11641
String MergeSort (LCP),random,1200,3.68543,14332
MSD Radix Sort,random,1200,1.1638,2618
MSD Radix + TStrQSort,random,1200,0.479725,5106
QuickSort (std),random,1300,1.73901,37333
MergeSort (std),random,1300,2.5409,16058
Ternary String QSort,random,1300,0.761317,13407
String MergeSort (LCP),random,1300,4.07913,15846
MSD Radix Sort,random,1300,1.21463,2849
MSD Radix + TStrQSort,random,1300,0.494267,5679
QuickSort (std),random,1400,1.98634,41552
MergeSort (std),random,1400,2.78819,17593
Ternary String QSort,random,1400,0.864117,14277
String MergeSort (LCP),random,1400,4.52812,17375
MSD Radix Sort,random,1400,1.39068,3096
MSD Radix + TStrQSort,random,1400,0.560309,6292
QuickSort (std),random,1500,2.15013,45204
MergeSort (std),random,1500,2.97463,19127
Ternary String QSort,random,1500,0.880958,15036
String MergeSort (LCP),random,1500,4.93713,18865
MSD Radix Sort,random,1500,1.86724,3331
MSD Radix + TStrQSort,random,1500,0.965,6971
QuickSort (std),random,1600,2.29708,47592
MergeSort (std),random,1600,3.15355,20728
Ternary String QSort,random,1600,0.918025,16004
String MergeSort (LCP),random,1600,5.06971,20437
MSD Radix Sort,random,1600,1.53492,3572
MSD Radix + TStrQSort,random,1600,0.640642,7540
QuickSort (std),random,1700,2.36912,51585
MergeSort (std),random,1700,3.33017,22314
Ternary String QSort,random,1700,1.0508,18974
String MergeSort (LCP),random,1700,5.44518,21998
MSD Radix Sort,random,1700,1.84038,3837
MSD Radix + TStrQSort,random,1700,0.708283,8088
QuickSort (std),random,1800,2.70407,58415
MergeSort (std),random,1800,3.6883,23900
Ternary String QSort,random,1800,1.24859,21504
String MergeSort (LCP),random,1800,5.80852,23556
MSD Radix Sort,random,1800,1.82019,4082
MSD Radix + TStrQSort,random,1800,0.748017,8852
QuickSort (std),random,1900,2.83414,62238
MergeSort (std),random,1900,4.07581,25551
Ternary String QSort,random,1900,1.49158,19973
String MergeSort (LCP),random,1900,6.96652,25216
MSD Radix Sort,random,1900,2.19676,4330
MSD Radix + TStrQSort,random,1900,0.83975,9381
QuickSort (std),random,2000,2.91499,63991
MergeSort (std),random,2000,4.23212,27198
Ternary String QSort,random,2000,1.24956,21747
String MergeSort (LCP),random,2000,6.59458,26798
MSD Radix Sort,random,2000,2.11342,4601
MSD Radix + TStrQSort,random,2000,0.849333,10039
QuickSort (std),random,2100,3.14788,68735
MergeSort (std),random,2100,4.19281,28802
Ternary String QSort,random,2100,1.2789,22654
String MergeSort (LCP),random,2100,8.537,28366
MSD Radix Sort,random,2100,2.26202,4860
MSD Radix + TStrQSort,random,2100,0.891684,10796
QuickSort (std),random,2200,3.26878,72348
MergeSort (std),random,2200,4.43426,30554
Ternary String QSort,random,2200,1.32957,23060
String MergeSort (LCP),random,2200,7.23417,30118
MSD Radix Sort,random,2200,2.40737,5128
MSD Radix + TStrQSort,random,2200,0.978117,11323
QuickSort (std),random,2300,3.36954,70989
MergeSort (std),random,2300,4.93383,32249
Ternary String QSort,random,2300,1.56062,25082
String MergeSort (LCP),random,2300,7.73786,31810
MSD Radix Sort,random,2300,2.79394,5391
MSD Radix + TStrQSort,random,2300,1.0608,12013
QuickSort (std),random,2400,4.77113,80058
MergeSort (std),random,2400,9.84472,33988
Ternary String QSort,random,2400,1.78195,28306
String MergeSort (LCP),random,2400,10.588,33494
MSD Radix Sort,random,2400,4.24543,5659
MSD Radix + TStrQSort,random,2400,1.72703,12600
QuickSort (std),random,2500,8.25891,81026
MergeSort (std),random,2500,18.3065,35751
Ternary String QSort,random,2500,3.22716,27085
String MergeSort (LCP),random,2500,22.6787,35254
MSD Radix Sort,random,2500,4.84815,5912
MSD Radix + TStrQSort,random,2500,2.19735,13287
QuickSort (std),random,2600,5.71133,84891
MergeSort (std),random,2600,10.104,37418
